"animal"	"Sire"	"Dam"	"Batch"	"Head"	"Body"	"Depth"	"Mass"
"1"	13050001	"11059002"	"11080006"	1	186.75	802.72	277.57	56
"2"	13050002	"11059002"	"11080006"	1	199.18	809.72	286.19	52.2
"3"	13050003	"11059002"	"11080006"	1	206.69	814.91	280.38	52
"4"	13050004	"11059002"	"11080006"	1	174.44	831.16	281.19	52
"5"	13050005	"11059002"	"11080006"	1	194.38	817.62	290.36	51.6
"6"	13050006	"11059002"	"11080006"	1	197.58	828.62	279.57	51.6
"7"	13050007	"11059002"	"11080006"	1	180.51	800.49	277.32	51.4
"8"	13050008	"11059002"	"11080006"	1	196.29	801.1	266.42	51.4
"9"	13050009	"11059002"	"11080006"	1	185.62	811.59	280.6	51.2
"10"	13050010	"11059002"	"11080006"	1	196.79	795.06	276.65	51.2
"11"	13050011	"11059002"	"11080006"	1	189.04	826.26	281.38	50.8
"12"	13050012	"11059002"	"11080006"	1	172.87	806.48	272.7	50.6
"13"	13050013	"11059002"	"11080006"	1	190.75	811.85	266.96	50.4
"14"	13050014	"11059002"	"11080006"	1	188.37	824.33	275.9	50.4
"15"	13050015	"11059002"	"11080006"	1	197.17	813.83	294.28	50
"16"	13050016	"11059002"	"11080006"	1	201.93	808.77	280.01	49.8
"17"	13050017	"11059002"	"11080006"	1	188.48	805.36	271.03	49.6
"18"	13050018	"11059002"	"11080006"	1	180.38	817.67	279.29	49.4
"19"	13050019	"11059002"	"11080006"	1	212.99	810.31	289.69	49.2
"20"	13050020	"11059002"	"11080006"	1	186.91	806.31	277.21	49.2
"21"	13050021	"11059002"	"11080006"	1	196.3	816.5	298.22	49
"22"	13050022	"11059002"	"11080006"	1	203.34	823.46	285.25	48.8
"23"	13050023	"11059002"	"11080006"	1	198.35	815.75	289.49	48.8
"24"	13050024	"11059002"	"11080006"	1	203.1	792.63	286.09	48.8
"25"	13050025	"11059002"	"11080006"	1	208.91	794.19	307.57	48.6
"26"	13050026	"11059002"	"11080006"	1	178.56	825.04	289.73	48.6
"27"	13050027	"11059002"	"11080006"	1	189.18	834.92	296.65	48.4
"28"	13050028	"11059002"	"11080006"	1	223.27	802.83	300.58	48
